Date,Station,Entries
3/20/2023,U Street,577.0
3/20/2023,Cleveland Park,521.0
3/20/2023,McLean,149.0
3/20/2023,Rosslyn,2093.0
3/20/2023,Hyattsville Crossing,392.0
3/20/2023,Van Ness-UDC,683.0
3/20/2023,Court House,743.0
3/20/2023,Virginia Sq-GMU,408.0
3/20/2023,Downtown Largo,177.0
3/20/2023,Brookland-CUA,649.0
3/20/2023,Southern Ave,1016.0
3/20/2023,Eastern Market,396.0
3/20/2023,Pentagon City,601.0
3/20/2023,Union Station,1248.0
3/20/2023,Stadium-Armory,104.0
3/20/2023,Congress Heights,44.0
3/20/2023,Archives,333.0
3/20/2023,Branch Ave,50.0
3/20/2023,Deanwood,33.0
3/20/2023,Morgan Boulevard,30.0
3/19/2023,Silver Spring,26.0
3/19/2023,Deanwood,2.0
3/19/2023,Braddock Road,3.0
3/19/2023,North Bethesda,2.0
3/19/2023,Potomac Ave,6.0
3/19/2023,Woodley Park,33.0
3/19/2023,Suitland,5.0
3/19/2023,McPherson Sq,13.0
3/19/2023,Landover,0.0
3/21/2023,McPherson Sq,3865.0
3/21/2023,Stadium-Armory,374.0
3/21/2023,Ronald Reagan Washington National Airport,1440.0
3/21/2023,Foggy Bottom-GWU,6655.0
3/21/2023,Mt Vernon Sq,733.0
3/21/2023,Farragut North,7194.0
3/21/2023,NoMa-Gallaudet U,2713.0
3/21/2023,Ballston-MU,1807.0
3/21/2023,Farragut West,1365.0
3/21/2023,Navy Yard-Ballpark,713.0
3/21/2023,Anacostia,159.0
3/21/2023,Court House,999.0
3/21/2023,Greensboro,108.0
3/21/2023,Farragut West,799.0
3/21/2023,Rockville,1033.0
3/21/2023,Crystal City,1198.0
3/21/2023,Metro Center,1006.0
3/21/2023,Franconia-Springfield,688.0
3/21/2023,Virginia Sq-GMU,415.0
3/21/2023,Eastern Market,1090.0
3/21/2023,Fort Totten,2602.0
3/21/2023,Pentagon,2002.0
3/21/2023,Medical Center,413.0
3/21/2023,Wheaton,451.0
3/21/2023,Branch Ave,345.0
3/20/2023,Farragut West,5.0
3/21/2023,Federal Triangle,3012.0
3/21/2023,Capitol South,696.0
3/20/2023,Fort Totten,41.0
3/20/2023,Farragut North,10.0
3/20/2023,Minnesota Ave,2.0
3/20/2023,Federal Triangle,4.0
3/20/2023,Ballston-MU,15.0
3/22/2023,Ballston-MU,1727.0
3/22/2023,Franconia-Springfield,506.0
3/22/2023,Tenleytown-AU,1585.0
3/22/2023,Downtown Largo,224.0
3/22/2023,Greenbelt,560.0
3/22/2023,Van Dorn Street,175.0
3/22/2023,Navy Yard-Ballpark,2389.0
3/22/2023,Mt Vernon Sq,836.0
3/22/2023,Archives,580.0
3/22/2023,Rockville,602.0
3/22/2023,Spring Hill,126.0
3/22/2023,Grosvenor-Strathmore,693.0
3/22/2023,Fort Totten,1313.0
3/22/2023,Vienna,576.0
3/22/2023,Federal Triangle,3140.0
3/22/2023,Shaw-Howard U,370.0
3/22/2023,Pentagon City,2121.0
3/22/2023,Judiciary Square,746.0
3/22/2023,Addison Road,257.0
3/22/2023,College Park-U of Md,458.0
3/22/2023,Stadium-Armory,357.0
3/22/2023,Franconia-Springfield,1893.0
3/22/2023,Glenmont,2032.0
3/22/2023,Fort Totten,299.0
3/22/2023,Dupont Circle,1716.0
3/22/2023,Medical Center,238.0
3/22/2023,Capitol South,766.0
3/22/2023,Cheverly,16.0
3/22/2023,Spring Hill,58.0
3/23/2023,Branch Ave,381.0
3/23/2023,New Carrollton,756.0
3/23/2023,Downtown Largo,310.0
3/23/2023,Clarendon,596.0
3/23/2023,Wheaton,407.0
3/23/2023,Georgia Ave-Petworth,1014.0
3/23/2023,Navy Yard-Ballpark,2226.0
3/23/2023,L'Enfant Plaza,4907.0
3/23/2023,Pentagon,3002.0
3/23/2023,Eastern Market,991.0
3/23/2023,East Falls Church,1328.0
3/23/2023,Ballston-MU,2063.0
3/23/2023,Crystal City,1274.0
3/23/2023,Braddock Road,543.0
3/23/2023,Virginia Sq-GMU,202.0
3/23/2023,Forest Glen,25.0
3/23/2023,Stadium-Armory,114.0
3/23/2023,Federal Triangle,2799.0
3/23/2023,Union Station,3559.0
3/23/2023,Addison Road,707.0
